wled_index,nx,ny,r
0,0.0000,-0.9829,0.9829
1,0.0614,-0.9829,0.9848
2,0.1843,-0.9214,0.9397
3,0.3071,-0.9214,0.9713
4,0.3686,-0.8600,0.9357
5,0.4914,-0.8600,0.9905
6,0.5529,-0.7986,0.9713
7,0.6143,-0.7372,0.9596
8,0.7372,-0.6757,1.0000
9,0.7986,-0.5529,0.9713
10,0.8600,-0.4914,0.9905
11,0.8600,-0.3686,0.9357
12,0.9214,-0.3071,0.9713
13,0.9214,-0.1843,0.9397
14,0.9829,-0.0614,0.9848
15,0.9829,0.0000,0.9829
16,0.9829,0.0614,0.9848
17,0.9829,0.1843,1.0000
18,0.9214,0.2457,0.9536
19,0.9214,0.3686,0.9924
20,0.8600,0.4914,0.9905
21,0.7986,0.5529,0.9713
22,0.7372,0.6143,0.9596
23,0.6757,0.7372,1.0000
24,0.5529,0.7986,0.9713
25,0.4914,0.8600,0.9905
26,0.3686,0.9214,0.9924
27,0.3071,0.9214,0.9713
28,0.1843,0.9829,1.0000
29,0.0614,0.9829,0.9848
30,0.0000,0.9829,0.9829
31,-0.0614,0.9829,0.9848
32,-0.1843,0.9829,1.0000
33,-0.3071,0.9214,0.9713
34,-0.3686,0.9214,0.9924
35,-0.4914,0.8600,0.9905
36,-0.5529,0.7986,0.9713
37,-0.6757,0.7372,1.0000
38,-0.7372,0.6143,0.9596
39,-0.7986,0.5529,0.9713
40,-0.8600,0.4914,0.9905
41,-0.9214,0.3686,0.9924
42,-0.9214,0.2457,0.9536
43,-0.9829,0.1843,1.0000
44,-0.9829,0.0614,0.9848
45,-0.9829,0.0000,0.9829
46,-0.9829,-0.0614,0.9848
47,-0.9214,-0.1843,0.9397
48,-0.9214,-0.3071,0.9713
49,-0.8600,-0.3686,0.9357
50,-0.8600,-0.4914,0.9905
51,-0.7986,-0.5529,0.9713
52,-0.7372,-0.6757,1.0000
53,-0.6143,-0.7372,0.9596
54,-0.5529,-0.7986,0.9713
55,-0.4914,-0.8600,0.9905
56,-0.3686,-0.8600,0.9357
57,-0.3071,-0.9214,0.9713
58,-0.1843,-0.9214,0.9397
59,-0.0614,-0.9829,0.9848
60,0.0000,-0.8600,0.8600
61,0.0614,-0.8600,0.8622
62,0.1843,-0.7986,0.8196
63,0.3071,-0.7986,0.8556
64,0.4300,-0.7372,0.8534
65,0.4914,-0.6757,0.8355
66,0.6143,-0.6143,0.8687
67,0.6757,-0.4914,0.8355
68,0.7372,-0.4300,0.8534
69,0.7986,-0.3071,0.8556
70,0.7986,-0.1843,0.8196
71,0.8600,-0.0614,0.8622
72,0.8600,0.0000,0.8600
73,0.8600,0.0614,0.8622
74,0.8600,0.1843,0.8795
75,0.7986,0.3071,0.8556
76,0.7372,0.4300,0.8534
77,0.6757,0.4914,0.8355
78,0.6143,0.6143,0.8687
79,0.4914,0.6757,0.8355
80,0.4300,0.7372,0.8534
81,0.3071,0.7986,0.8556
82,0.1843,0.8600,0.8795
83,0.0614,0.8600,0.8622
84,0.0000,0.8600,0.8600
85,-0.0614,0.8600,0.8622
86,-0.1843,0.8600,0.8795
87,-0.3071,0.7986,0.8556
88,-0.4300,0.7372,0.8534
89,-0.7986,-0.1843,0.8196
89,-0.4914,0.6757,0.8355
90,-0.6143,0.6143,0.8687
91,-0.6757,0.4914,0.8355
92,-0.7372,0.4300,0.8534
93,-0.7986,0.3071,0.8556
94,-0.8600,0.1843,0.8795
95,-0.8600,0.0614,0.8622
96,-0.8600,0.0000,0.8600
97,-0.8600,-0.0614,0.8622
98,-0.7986,-0.2457,0.8355
99,-0.7986,-0.3071,0.8556
100,-0.7372,-0.4300,0.8534
101,-0.6757,-0.4914,0.8355
102,-0.6143,-0.6143,0.8687
103,-0.4914,-0.6757,0.8355
104,-0.4300,-0.7372,0.8534
105,-0.3071,-0.7986,0.8556
106,-0.1843,-0.7986,0.8196
107,-0.0614,-0.8600,0.8622
108,0.0000,-0.7372,0.7372
109,0.0614,-0.7372,0.7397
110,0.1843,-0.6757,0.7004
111,0.3071,-0.6757,0.7423
112,0.4300,-0.6143,0.7498
113,0.4914,-0.4914,0.6950
114,0.5529,-0.4300,0.7004
115,0.6143,-0.3071,0.6868
116,0.6757,-0.1843,0.7004
117,0.7372,-0.1229,0.7473
118,0.7372,0.0000,0.7372
119,0.7372,0.0614,0.7397
120,0.6757,0.1843,0.7004
120,-0.1843,0.6757,0.7004
121,0.6757,0.3071,0.7423
122,0.6143,0.4300,0.7498
123,0.4914,0.4914,0.6950
124,0.4300,0.6143,0.7498
125,0.3071,0.6757,0.7423
126,0.1843,0.6757,0.7004
127,0.0614,0.7372,0.7397
128,0.0000,0.7372,0.7372
129,-0.0614,0.7372,0.7397
130,-0.1843,0.7372,0.7598
131,-0.3071,0.6757,0.7423
132,-0.4300,0.6143,0.7498
133,-0.5529,0.4914,0.7397
134,-0.6143,0.4300,0.7498
135,-0.6757,0.3071,0.7423
136,-0.6757,0.1843,0.7004
137,-0.7372,0.0614,0.7397
138,-0.7372,0.0000,0.7372
139,-0.7372,-0.1229,0.7473
140,-0.6757,-0.1843,0.7004
141,-0.6757,-0.3071,0.7423
142,-0.6143,-0.4300,0.7498
143,-0.4914,-0.4914,0.6950
144,-0.4300,-0.6143,0.7498
145,-0.3071,-0.6757,0.7423
146,-0.1843,-0.6757,0.7004
147,-0.0614,-0.7372,0.7397
148,0.0000,-0.6143,0.6143
149,0.1229,-0.6143,0.6265
150,0.1843,-0.5529,0.5828
151,0.3071,-0.4914,0.5795
152,0.4300,-0.4300,0.6081
153,0.4914,-0.3071,0.5795
154,0.5529,-0.2457,0.6050
155,0.6143,-0.1229,0.6265
156,0.6143,0.0000,0.6143
157,0.6143,0.1229,0.6265
158,0.5529,0.1843,0.5828
159,0.4914,0.3071,0.5795
160,0.4300,0.4300,0.6081
161,0.3071,0.4914,0.5795
162,0.2457,0.5529,0.6050
163,0.1229,0.6143,0.6265
164,0.0000,0.6143,0.6143
165,-0.1229,0.6143,0.6265
166,-0.2457,0.5529,0.6050
167,-0.3071,0.4914,0.5795
168,-0.4300,0.4300,0.6081
