wled_index,nx,ny,r
0,0.0000,0.0000,0.0000
1,0.0909,0.0000,0.0909
2,0.0455,-0.0787,0.0909
3,-0.0455,-0.0787,0.0909
4,-0.0909,0.0000,0.0909
5,-0.0455,0.0787,0.0909
6,0.0455,0.0787,0.0909
7,0.1818,0.0000,0.1818
8,0.1575,-0.0909,0.1818
9,0.0909,-0.1575,0.1818
10,0.0000,-0.1818,0.1818
11,-0.0909,-0.1575,0.1818
12,-0.1575,-0.0909,0.1818
13,-0.1818,0.0000,0.1818
14,-0.1575,0.0909,0.1818
15,-0.0909,0.1575,0.1818
16,0.0000,0.1818,0.1818
17,0.0909,0.1575,0.1818
18,0.1575,0.0909,0.1818
19,0.2727,0.0000,0.2727
20,0.2562,-0.0932,0.2727
21,0.2089,-0.1753,0.2727
22,0.1364,-0.2362,0.2727
23,0.0473,-0.2686,0.2727
24,-0.0473,-0.2686,0.2727
25,-0.1364,-0.2362,0.2727
26,-0.2089,-0.1753,0.2727
27,-0.2562,-0.0932,0.2727
28,-0.2727,0.0000,0.2727
29,-0.2562,0.0932,0.2727
30,-0.2089,0.1753,0.2727
31,-0.1364,0.2362,0.2727
32,-0.0473,0.2686,0.2727
33,0.0473,0.2686,0.2727
34,0.1364,0.2362,0.2727
35,0.2089,0.1753,0.2727
36,0.2562,0.0932,0.2727
37,0.3636,0.0000,0.3636
38,0.3513,-0.0941,0.3637
39,0.3149,-0.1818,0.3637
40,0.2571,-0.2571,0.3637
41,0.1818,-0.3149,0.3637
42,0.0941,-0.3513,0.3637
43,0.0000,-0.3636,0.3636
44,-0.0941,-0.3513,0.3637
45,-0.1818,-0.3149,0.3637
46,-0.2571,-0.2571,0.3637
47,-0.3149,-0.1818,0.3637
48,-0.3513,-0.0941,0.3637
49,-0.3636,0.0000,0.3636
50,-0.3513,0.0941,0.3637
51,-0.3149,0.1818,0.3637
52,-0.2571,0.2571,0.3637
53,-0.1818,0.3149,0.3637
54,-0.0941,0.3513,0.3637
55,0.0000,0.3636,0.3636
56,0.0941,0.3513,0.3637
57,0.1818,0.3149,0.3637
58,0.2571,0.2571,0.3637
59,0.3149,0.1818,0.3637
60,0.3513,0.0941,0.3637
61,0.4545,0.0000,0.4545
62,0.4446,-0.0945,0.4545
63,0.4152,-0.1849,0.4545
64,0.3677,-0.2672,0.4545
65,0.3041,-0.3378,0.4545
66,0.2273,-0.3936,0.4545
67,0.1405,-0.4322,0.4545
68,0.0475,-0.4520,0.4545
69,-0.0475,-0.4520,0.4545
70,-0.1405,-0.4322,0.4545
71,-0.2273,-0.3936,0.4545
72,-0.3041,-0.3378,0.4545
73,-0.3677,-0.2672,0.4545
74,-0.4152,-0.1849,0.4545
75,-0.4446,-0.0945,0.4545
76,-0.4545,0.0000,0.4545
77,-0.4446,0.0945,0.4545
78,-0.4152,0.1849,0.4545
79,-0.3677,0.2672,0.4545
80,-0.3041,0.3378,0.4545
81,-0.2273,0.3936,0.4545
82,-0.1405,0.4322,0.4545
83,-0.0475,0.4520,0.4545
84,0.0475,0.4520,0.4545
85,0.1405,0.4322,0.4545
86,0.2273,0.3936,0.4545
87,0.3041,0.3378,0.4545
88,0.3677,0.2672,0.4545
89,0.4152,0.1849,0.4545
90,0.4446,0.0945,0.4545
91,0.5454,0.0000,0.5454
92,0.5371,-0.0948,0.5454
93,0.5125,-0.1866,0.5454
94,0.4723,-0.2727,0.5454
95,0.4178,-0.3506,0.5454
96,0.3506,-0.4178,0.5454
97,0.2727,-0.4723,0.5454
98,0.1866,-0.5125,0.5454
99,0.0948,-0.5371,0.5454
100,0.0000,-0.5454,0.5454
101,-0.0948,-0.5371,0.5454
102,-0.1866,-0.5125,0.5454
103,-0.2727,-0.4723,0.5454
104,-0.3506,-0.4178,0.5454
105,-0.4178,-0.3506,0.5454
106,-0.4723,-0.2727,0.5454
107,-0.5125,-0.1866,0.5454
108,-0.5371,-0.0948,0.5454
109,-0.5454,0.0000,0.5454
110,-0.5371,0.0948,0.5454
111,-0.5125,0.1866,0.5454
112,-0.4723,0.2727,0.5454
113,-0.4178,0.3506,0.5454
114,-0.3506,0.4178,0.5454
115,-0.2727,0.4723,0.5454
116,-0.1866,0.5125,0.5454
117,-0.0948,0.5371,0.5454
118,0.0000,0.5454,0.5454
119,0.0948,0.5371,0.5454
120,0.1866,0.5125,0.5454
121,0.2727,0.4723,0.5454
122,0.3506,0.4178,0.5454
123,0.4178,0.3506,0.5454
124,0.4723,0.2727,0.5454
125,0.5125,0.1866,0.5454
126,0.5371,0.0948,0.5454
127,0.6363,0.0000,0.6363
128,0.6293,-0.0948,0.6364
129,0.6081,-0.1875,0.6363
130,0.5733,-0.2760,0.6363
131,0.5257,-0.3585,0.6363
132,0.4664,-0.4329,0.6363
133,0.3967,-0.4975,0.6363
134,0.3182,-0.5511,0.6363
135,0.2324,-0.5923,0.6363
136,0.1416,-0.6204,0.6364
137,0.0476,-0.6345,0.6363
138,-0.0476,-0.6345,0.6363
139,-0.1416,-0.6204,0.6364
140,-0.2324,-0.5923,0.6363
141,-0.3182,-0.5511,0.6363
142,-0.3967,-0.4975,0.6363
143,-0.4664,-0.4329,0.6363
144,-0.5257,-0.3585,0.6363
145,-0.5733,-0.2760,0.6363
146,-0.6081,-0.1875,0.6363
147,-0.6293,-0.0948,0.6364
148,-0.6363,0.0000,0.6363
149,-0.6293,0.0948,0.6364
150,-0.6081,0.1875,0.6363
151,-0.5733,0.2760,0.6363
152,-0.5257,0.3585,0.6363
153,-0.4664,0.4329,0.6363
154,-0.3967,0.4975,0.6363
155,-0.3182,0.5511,0.6363
156,-0.2324,0.5923,0.6363
157,-0.1416,0.6204,0.6364
158,-0.0476,0.6345,0.6363
159,0.0476,0.6345,0.6363
160,0.1416,0.6204,0.6364
161,0.2324,0.5923,0.6363
162,0.3182,0.5511,0.6363
163,0.3967,0.4975,0.6363
164,0.4664,0.4329,0.6363
165,0.5257,0.3585,0.6363
166,0.5733,0.2760,0.6363
167,0.6081,0.1875,0.6363
168,0.6293,0.0948,0.6364
169,0.7272,0.0000,0.7272
170,0.7215,-0.0912,0.7272
171,0.7044,-0.1808,0.7273
172,0.6761,-0.2677,0.7272
173,0.6373,-0.3504,0.7273
174,0.5884,-0.4275,0.7273
175,0.5301,-0.4978,0.7272
176,0.4636,-0.5604,0.7273
177,0.3897,-0.6141,0.7272
178,0.3097,-0.6580,0.7272
179,0.2248,-0.6916,0.7272
180,0.1363,-0.7143,0.7272
181,0.0456,-0.7258,0.7272
182,-0.0456,-0.7258,0.7272
183,-0.1363,-0.7143,0.7272
184,-0.2248,-0.6916,0.7272
185,-0.3097,-0.6580,0.7272
186,-0.3897,-0.6141,0.7272
187,-0.4636,-0.5604,0.7273
188,-0.5301,-0.4978,0.7272
189,-0.5884,-0.4275,0.7273
190,-0.6373,-0.3504,0.7273
191,-0.6761,-0.2677,0.7272
192,-0.7044,-0.1808,0.7273
193,-0.7215,-0.0912,0.7272
194,-0.7272,0.0000,0.7272
195,-0.7215,0.0912,0.7272
196,-0.7044,0.1808,0.7273
197,-0.6761,0.2677,0.7272
198,-0.6373,0.3504,0.7273
199,-0.5884,0.4275,0.7273
200,-0.5301,0.4978,0.7272
201,-0.4636,0.5604,0.7273
202,-0.3897,0.6141,0.7272
203,-0.3097,0.6580,0.7272
204,-0.2248,0.6916,0.7272
205,-0.1363,0.7143,0.7272
206,-0.0456,0.7258,0.7272
207,0.0456,0.7258,0.7272
208,0.1363,0.7143,0.7272
209,0.2248,0.6916,0.7272
210,0.3097,0.6580,0.7272
211,0.3897,0.6141,0.7272
212,0.4636,0.5604,0.7273
213,0.5301,0.4978,0.7272
214,0.5884,0.4275,0.7273
215,0.6373,0.3504,0.7273
216,0.6761,0.2677,0.7272
217,0.7044,0.1808,0.7273
218,0.7215,0.0912,0.7272
219,0.8181,0.0000,0.8181
220,0.8129,-0.0916,0.8181
221,0.7976,-0.1821,0.8182
222,0.7722,-0.2703,0.8182
223,0.7372,-0.3549,0.8182
224,0.6928,-0.4353,0.8182
225,0.6396,-0.5101,0.8181
226,0.5785,-0.5785,0.8182
227,0.5101,-0.6396,0.8181
228,0.4353,-0.6928,0.8182
229,0.3549,-0.7372,0.8182
230,0.2703,-0.7722,0.8182
231,0.1821,-0.7976,0.8182
232,0.0916,-0.8129,0.8181
233,0.0000,-0.8181,0.8181
234,-0.0916,-0.8129,0.8181
235,-0.1821,-0.7976,0.8182
236,-0.2703,-0.7722,0.8182
237,-0.3549,-0.7372,0.8182
238,-0.4353,-0.6928,0.8182
239,-0.5101,-0.6396,0.8181
240,-0.5785,-0.5785,0.8182
241,-0.6396,-0.5101,0.8181
242,-0.6928,-0.4353,0.8182
243,-0.7372,-0.3549,0.8182
244,-0.7722,-0.2703,0.8182
245,-0.7976,-0.1821,0.8182
246,-0.8129,-0.0916,0.8181
247,-0.8181,0.0000,0.8181
248,-0.8129,0.0916,0.8181
249,-0.7976,0.1821,0.8182
250,-0.7722,0.2703,0.8182
251,-0.7372,0.3549,0.8182
252,-0.6928,0.4353,0.8182
253,-0.6396,0.5101,0.8181
254,-0.5785,0.5785,0.8182
255,-0.5101,0.6396,0.8181
256,-0.4353,0.6928,0.8182
257,-0.3549,0.7372,0.8182
258,-0.2703,0.7722,0.8182
259,-0.1821,0.7976,0.8182
260,-0.0916,0.8129,0.8181
261,0.0000,0.8181,0.8181
262,0.0916,0.8129,0.8181
263,0.1821,0.7976,0.8182
264,0.2703,0.7722,0.8182
265,0.3549,0.7372,0.8182
266,0.4353,0.6928,0.8182
267,0.5101,0.6396,0.8181
268,0.5785,0.5785,0.8182
269,0.6396,0.5101,0.8181
270,0.6928,0.4353,0.8182
271,0.7372,0.3549,0.8182
272,0.7722,0.2703,0.8182
273,0.7976,0.1821,0.8182
274,0.8129,0.0916,0.8181
275,0.9090,0.0000,0.9090
276,0.9044,-0.0920,0.9091
277,0.8904,-0.1830,0.9090
278,0.8673,-0.2722,0.9090
279,0.8353,-0.3585,0.9090
280,0.7949,-0.4411,0.9091
281,0.7461,-0.5193,0.9090
282,0.6897,-0.5922,0.9090
283,0.6263,-0.6589,0.9091
284,0.5564,-0.7188,0.9090
285,0.4809,-0.7714,0.9091
286,0.4004,-0.8162,0.9091
287,0.3157,-0.8525,0.9091
288,0.2279,-0.8800,0.9090
289,0.1377,-0.8986,0.9091
290,0.0460,-0.9079,0.9090
